symbol,avg_daily_return,volatility,log_volume,log_price,cluster
M,-0.000512,0.021519,6.820059,1.655592,2
MA,0.000675,0.012852,6.631157,1.992743,0
MAA,0.000561,0.011406,5.78969,1.939805,0
MAC,0.000215,0.014036,6.071054,1.855869,0
MAR,0.001107,0.013634,6.440452,1.891835,0
MAS,0.00078,0.015671,6.586133,1.468905,1
MAT,-0.000893,0.021177,6.724695,1.452562,2
MCD,0.000622,0.009638,6.718688,2.065801,0
MCHP,0.0008,0.015212,6.356749,1.755031,0
MCK,0.000122,0.016942,6.208282,2.254675,0
MCO,0.000727,0.012917,6.006587,2.014966,0
MDLZ,0.000292,0.013221,6.937787,1.610259,1
MDT,0.000411,0.011699,6.773887,1.875463,1
MET,7.7e-05,0.015924,6.796194,1.702133,1
MGM,0.000545,0.020238,6.932438,1.395906,1
MHK,0.000708,0.013889,5.813552,2.280495,0
MKC,0.000453,0.010555,5.865416,1.933683,0
MLM,0.000974,0.019095,5.896441,2.220421,0
MMC,0.000577,0.009586,6.302342,1.793081,0
MMM,0.000578,0.009784,6.347038,2.225841,0
MNST,0.001225,0.019793,6.543867,1.632388,1
MO,0.000684,0.010372,6.83057,1.758888,1
MON,7.6e-05,0.012021,6.491025,2.038813,0
MOS,-0.000396,0.020263,6.635399,1.545636,2
MPC,0.000636,0.022357,6.756179,1.673524,2
MRK,0.000229,0.014276,7.017266,1.766231,1
MRO,-0.000209,0.032164,7.118234,1.332263,2
MS,0.000653,0.016168,7.053179,1.557787,1
MSFT,0.000922,0.013695,7.487317,1.733076,1
MSI,0.00038,0.012062,6.169694,1.857321,0
MTB,0.000476,0.01283,5.924779,2.116692,0
MTD,0.001032,0.013827,5.235326,2.577324,0
MU,0.001021,0.027704,7.446581,1.388203,2
MYL,0.000258,0.022993,6.776251,1.67464,2
NAVI,-3.7e-05,0.021117,6.504127,1.187821,2
NBL,-0.000559,0.02291,6.621353,1.633013,2
NCLH,0.000627,0.019958,6.213636,1.668751,0
NDAQ,0.000737,0.011681,6.0233,1.759596,0
NEE,0.000668,0.010379,6.314016,2.060056,0
NEM,0.000762,0.025126,6.878891,1.450928,2
NFLX,0.001651,0.026585,7.157569,2.01761,1
NFX,0.000651,0.028132,6.509467,1.539956,2
NI,0.000198,0.023037,6.411288,1.467685,2
NKE,0.000563,0.013925,6.934433,1.714956,1
NLSN,-0.000115,0.013873,6.400814,1.655897,1
NOC,0.001051,0.010896,6.028114,2.284465,0
NOV,-0.000556,0.021162,6.661525,1.679142,2
NRG,0.000371,0.027462,6.733953,1.329456,2
NSC,0.000587,0.016035,6.275336,2.005633,0
NTAP,0.000465,0.01764,6.542334,1.557628,1
NTRS,0.000588,0.013806,6.086011,1.87071,0
NUE,0.000324,0.016675,6.39106,1.707554,1
NVDA,0.00276,0.023739,7.031865,1.787918,1
NWL,0.000237,0.02345,6.535194,1.616398,2
NWS,3.9e-05,0.015048,5.977552,1.160653,1
NWSA,1.9e-05,0.015513,6.480107,1.158723,1
O,0.000504,0.012441,6.286523,1.723107,0
OKE,0.000154,0.02395,6.391606,1.688856,2
OMC,4.9e-05,0.011408,6.225102,1.884529,0
ORCL,0.000299,0.012512,7.156891,1.619758,1
ORLY,0.00074,0.015283,5.934715,2.347576,0
OXY,-0.000131,0.014817,6.66492,1.881929,1
PAYX,0.000463,0.010303,6.330169,1.716013,0
PBCT,0.000287,0.011656,6.531258,1.205768,1
PCAR,0.000297,0.014391,6.304667,1.790366,0
PCG,0.000203,0.012633,6.488367,1.745043,1
PCLN,0.000556,0.01676,5.801354,3.1431,0
PDCO,-2.1e-05,0.013992,6.015534,1.642389,0
PEG,0.000564,0.011792,6.50128,1.623543,1
PEP,0.000411,0.008284,6.64558,2.002349,0
PFE,0.00023,0.010755,7.421928,1.514907,1
PFG,0.000479,0.014667,6.12991,1.720785,0
PG,0.000167,0.008503,6.957668,1.922869,1
PGR,0.000794,0.010251,6.532638,1.516092,1
PH,0.000541,0.013658,6.076479,2.110148,0
PHM,0.000634,0.016253,6.747896,1.321398,1
PKG,0.00077,0.015981,5.987201,1.895463,0
PKI,0.000657,0.012688,5.875791,1.719859,0
PLD,0.000626,0.011894,6.431514,1.672243,1
PM,0.000257,0.01027,6.655436,1.970934,1
PNC,0.000708,0.012518,6.377413,1.994832,0
PNR,3.8e-05,0.015623,6.123593,1.80167,0
PNW,0.000544,0.010378,5.913918,1.843695,0
PPG,0.00029,0.012521,6.193639,2.018775,0
PPL,0.000105,0.011171,6.636137,1.542724,1
PRGO,-0.00033,0.021426,6.21862,2.101784,2
PRU,0.000353,0.015326,6.380668,1.950572,0
PSA,0.0004,0.011239,5.873324,2.317609,0
PSX,0.00039,0.014955,6.497183,1.908876,0
PVH,0.000172,0.018287,6.029407,2.034987,0
PWR,0.000423,0.019518,6.335702,1.478344,1
PX,0.00023,0.010335,6.128301,2.08974,0
PXD,0.000233,0.022512,6.298752,2.215617,0
PYPL,0.001259,0.017397,6.941937,1.650804,1
QCOM,1.2e-05,0.016993,7.040023,1.801345,1
QRVO,0.000293,0.02714,6.251672,1.791877,2
RCL,0.001118,0.019753,6.325921,1.916361,0
RE,0.000438,0.010851,5.529277,2.28338,0
